,0
1,0.000795143
6,0.000849699
68,0.000904992
95,0.000919125
142,0.00091451
273,0.000945484
298,0.000908378
367,0.000927114
374,0.000967608
387,0.000967608
410,0.000972254
415,0.000954418
554,0.000966719
578,0.000939213
635,0.000878768
725,0.000829481
747,0.000799734
748,0.000836377
848,0.000939057
856,0.000889686
897,0.000869167
946,0.000954729
951,0.000799734
955,0.000901188
1021,0.000967608
1058,0.000832395
1084,0.000960934
7,0.000818032
62,0.001166941
78,0.001147574
180,0.001053799
225,0.00097211
370,0.000961385
394,0.001136915
397,0.00080435
501,0.001086548
528,0.001004341
609,0.000821387
761,0.00115367
763,0.000801953
1003,0.00082929
1089,0.000913726
1121,0.000823784
1123,0.001119872
1151,0.00115367
1227,0.001012976
8,0.000804237
79,0.0008224
134,0.000933411
139,0.00083686
202,0.000814902
386,0.000916282
506,0.000979303
521,0.000886562
797,0.000814902
819,0.000994119
863,0.001147658
905,0.000803635
931,0.000926711
1052,0.001234502
1147,0.000922386
1199,0.000956838
9,0.000813238
74,0.000807218
277,0.000826416
357,0.000961469
382,0.000805529
436,0.000803014
678,0.000799351
699,0.000799351
724,0.000807218
801,0.000799351
936,0.000830212
1093,0.00081149
1168,0.000799351
1194,0.000813596
1202,0.000807735
1216,0.000799351
13,0.00080637
45,0.000813307
84,0.000884121
146,0.000804253
163,0.000799044
164,0.000818913
189,0.000884337
212,0.000802571
279,0.000799044
284,0.000854093
299,0.000811206
303,0.000799044
444,0.000810755
471,0.000868248
490,0.000835425
502,0.000855366
533,0.000808473
546,0.000802947
549,0.000810755
550,0.000806744
591,0.000908393
602,0.000808266
631,0.000799044
658,0.000872599
707,0.000819685
758,0.000799044
785,0.000842437
871,0.000822068
1070,0.000868248
1112,0.000825021
1189,0.000818913
1228,0.000804036
25,0.000822542
69,0.000817779
151,0.000812852
221,0.000807081
297,0.000805218
473,0.000817779
641,0.000830884
1071,0.000856859
1116,0.000801014
36,0.000804415
43,0.000955042
220,0.000939116
361,0.000835257
468,0.000950053
494,0.000940134
774,0.000804156
872,0.000845108
1134,0.000931019
41,0.000847672
254,0.000870067
324,0.000825874
331,0.000869215
695,0.000849644
445,0.000809358
564,0.000809358
792,0.000809358
859,0.000809358
886,0.000809358
933,0.000809358
974,0.000809358
1064,0.000809358
1176,0.000809358
1204,0.000809358
50,0.000798627
448,0.000808801
557,0.000800135
598,0.000834506
1119,0.000805127
59,0.000798627
2,0.000803546
48,0.000799751
126,0.000799751
385,0.000799751
454,0.00080405
560,0.000803546
594,0.000832643
610,0.000803546
683,0.00083465
686,0.000806447
698,0.000806447
727,0.000809425
1034,0.000799751
1131,0.000802148
1165,0.000806447
80,0.000812758
441,0.000806729
538,0.00089682
969,0.000876183
63,0.000813163
85,0.000823014
88,0.00083559
99,0.000833616
106,0.000835101
143,0.000836687
166,0.00083165
193,0.000805296
223,0.000836066
228,0.000819621
259,0.000844141
289,0.00082585
372,0.000829169
437,0.000840343
438,0.000840735
447,0.000859996
467,0.00086203
477,0.000830393
492,0.000895753
523,0.000835117
531,0.000850454
556,0.000839964
569,0.00080783
585,0.00082951
611,0.000838896
629,0.000824022
642,0.000842916
680,0.00080656
682,0.000804379
735,0.000819818
799,0.000821006
847,0.000856545
874,0.000836066
876,0.000827115
900,0.000820227
909,0.000833217
922,0.000824458
1009,0.00082158
1049,0.000859996
1099,0.00085087
1100,0.000807289
1174,0.000828866
227,0.000799806
479,0.000864847
497,0.000803968
861,0.000799806
1226,0.000799806
11,0.000849978
171,0.000839738
249,0.000826096
261,0.000825242
300,0.000801239
499,0.000801239
586,0.000801239
666,0.000849978
755,0.000801239
771,0.000825242
